index,residual,influ,b_nbaths,b_nbeds,b_area,b_age,se_nbaths,se_nbeds,se_area,se_age
7.600000000000000000e+01,2.600764404526714202e+00,3.082161267179290426e-02,4.124781473021643308e+01,-9.924508928460703316e+00,8.743894611204117151e-02,-4.837186033688029574e-01,2.299899532281204570e-02,2.006592898292623370e-02,4.245594521899946735e-08,8.734857049429487581e-06
7.700000000000000000e+01,7.570173340310020649e+00,3.631343848204827279e-02,2.536969075469682622e+01,-3.703027780328465468e+01,1.561538371075920362e-01,-1.003805048123917576e+00,3.256152412608379065e-02,1.686902832211348638e-02,3.770213057434058706e-08,1.815592140459570326e-05
7.800000000000000000e+01,-2.343400807958516907e+00,2.961580991551938241e-02,2.683421699978584485e+00,-5.370120085553065969e+00,1.305267627892513216e-01,-1.127940202871549502e+00,3.136547010573310229e-02,1.380268075374851966e-02,3.641391648352216437e-08,1.637915190794037254e-05
7.900000000000000000e+01,-4.289168151251874406e+01,2.134708726551599878e-02,9.821871687736103240e+01,-6.604639508032713024e+01,1.626502252609920429e-01,-1.386945653795123468e+00,1.865754640839203601e-02,1.308204505147113339e-02,1.483093616503733381e-08,8.987853851228186808e-06
8.000000000000000000e+01,-1.143549259488861196e+02,1.891941374804861214e-02,-9.815702282315115212e-01,-4.601334835191320138e+00,1.178903892657943570e-01,-6.571529578367858448e-01,3.844362091117919239e-02,1.551756065128570214e-02,5.684418188749860706e-08,1.170304953602263751e-05
8.100000000000000000e+01,7.295981749465761368e+01,2.831637227121010514e-01,3.225448047716002975e+01,-2.488925507290610462e+00,6.227598176499343774e-02,-5.121760885029562616e-01,4.485074479783673906e-02,1.568252138245900679e-02,7.022914456703899947e-08,1.483538031817784415e-05
8.200000000000000000e+01,-2.540355658533843553e+01,5.404089745722587268e-02,2.241591351023504330e+01,-2.829162727830037483e+01,1.359008290239193673e-01,-6.488838283436070276e-01,3.416813229448759787e-02,1.746349552716394346e-02,4.300749221299423712e-08,1.677737216236645113e-05
8.300000000000000000e+01,3.729976935446330799e+01,5.968802779656193214e-02,4.065660266844001569e+01,-9.646283572484517066e+00,8.972435726993242822e-02,-5.113961631590705492e-01,2.141498962003677425e-02,1.806742117953643798e-02,3.579092841628895611e-08,8.007151459878731847e-06
8.400000000000000000e+01,-8.946396790787680686e+00,3.391323783688104943e-02,3.504703331164029123e+01,-2.094498365537653939e+01,1.681590393878264478e-01,-1.844941800127303244e+00,2.657730574217477201e-02,1.607745070065601939e-02,5.342419167513761005e-08,7.363929208829792429e-06
8.500000000000000000e+01,3.096536757045016941e+01,7.391212446566572392e-02,4.423811034149050414e+01,-9.707748854301211594e+00,8.800294649005488412e-02,-5.489149865771152381e-01,1.938723032210327990e-02,1.715315705630320042e-02,2.818858095874748106e-08,7.443515171294111912e-06
8.600000000000000000e+01,1.298199202514289539e+02,2.625263216492839877e-02,1.693547549646653394e+01,-5.997877151601896628e+01,2.394425561923010370e-01,-1.517624660224961897e+00,1.829618882198800686e-02,1.220913636132191747e-02,2.327307375216597131e-08,6.847062820212407350e-06
8.700000000000000000e+01,-4.072210298659652494e+01,3.870918521686174396e-02,1.456548809846558612e+01,-4.394193918775808072e+01,2.005343033761431970e-01,-1.372845863167241109e+00,4.390444350813269003e-02,1.851197438779342286e-02,8.040336321017987227e-08,1.310376223743534522e-05
8.800000000000000000e+01,-2.055626987142341022e+01,2.945690835574968358e-02,9.759023254345507326e+00,-9.359160907333759383e+00,1.254762391232737140e-01,-1.039137975439464956e+00,3.550538914380374500e-02,1.443548245665477597e-02,4.364281007788388020e-08,1.836417666148947600e-05
8.900000000000000000e+01,1.149826328751309461e+02,1.068853229915962266e-01,2.321056200285135418e+01,-9.546122822821146769e+01,2.466026672107132778e-01,-4.003322557695048189e-01,2.395753487168687107e-02,1.606058506289822357e-02,2.629812638944958481e-08,8.494733899981355010e-06
9.000000000000000000e+01,-6.893205222797919873e+01,1.794076414343044601e-02,1.607098395995208051e+01,1.284535639141352448e+01,6.327371022233599374e-02,-7.303267943254696526e-01,4.000392893564530539e-02,1.582324526359515579e-02,5.969175612791293789e-08,1.113722066113504516e-05
9.100000000000000000e+01,3.734530563881493492e+01,3.554140046493352301e-02,4.586909215336882539e+01,-8.218070047314927962e+00,8.140797582546205335e-02,-5.211098324128373704e-01,2.350842939014992361e-02,2.194923573159100749e-02,4.759673851679781842e-08,8.550019761029189059e-06
9.200000000000000000e+01,-1.273964346339311504e+01,2.849009426874831580e-02,2.478206870630332759e+01,3.464408406004557683e+00,5.463020118999304536e-02,-4.245736594633182093e-01,3.376539785236965657e-02,1.292288808192779657e-02,5.291501053184971538e-08,1.052785433216467884e-05
9.300000000000000000e+01,-1.088305827419188176e+01,3.262991909422213732e-02,3.430684430262876106e+01,-1.312111804240258195e+01,1.067898769414649951e-01,-5.737346283408712999e-01,1.911586053165178697e-02,1.499873370228067479e-02,2.543050849343363023e-08,8.329017457285652027e-06
9.400000000000000000e+01,-3.596046659069079965e+01,3.674181073342271814e-02,2.399466547839342212e+01,-2.199472202689512912e+01,1.297790895227241281e-01,-9.132837388662057299e-01,3.292713977446543733e-02,1.763318062992947841e-02,4.505197847929250624e-08,1.704794201569196103e-05
9.500000000000000000e+01,7.148849535758984075e+00,3.315093390298429893e-02,1.948964887709173155e+01,1.220877798162620387e+01,5.566748480937126764e-02,-6.528298463201895885e-01,3.840176483963999438e-02,1.533729158273029053e-02,5.680664791049981279e-08,1.149409450461361117e-05
9.600000000000000000e+01,-5.533810954163895701e+01,1.558836710045520373e-02,1.432876136251645605e+01,1.226861456664221883e+01,6.873731388908710382e-02,-7.683355175128675496e-01,4.030710367351266615e-02,1.646017423199768945e-02,6.248645442521514555e-08,1.138524310357442644e-05
9.700000000000000000e+01,2.948533421178834146e+01,1.074839381694672052e-02,3.037416449514572392e+01,1.538476090881426117e+00,5.103319623765240065e-02,-3.815507861933440381e-01,3.903698853558997678e-02,1.631094988030904955e-02,6.120923533500531036e-08,1.084467717730524634e-05
9.800000000000000000e+01,-9.906074984413464790e+00,4.533714074416773238e-02,3.872778569758136058e+01,-5.558740978592101811e+01,1.724996707693862985e-01,-9.664988271637580119e-01,2.598341250169629649e-02,1.462981963344737318e-02,1.921788457026508710e-08,1.840603236434701470e-05
9.900000000000000000e+01,-6.430863881002431981e+01,3.424481608501034335e-02,4.186140562841838886e+01,-7.748143966700152419e+01,2.373655524431551311e-01,-1.370337787604211766e+00,1.605368030557906278e-02,1.289579236657842007e-02,1.497498565019650137e-08,6.988836538408469026e-06
1.000000000000000000e+02,-2.725009756433499319e+01,2.117422864412293534e-02,3.069550780445760907e+01,5.912660847011697030e-01,5.318134038173703837e-02,-3.973855407859558930e-01,4.133829880127788681e-02,1.698615692755275214e-02,6.380392334742508734e-08,1.090331582322637525e-05
